Fund Holdings as of,"08-May-26"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"IAG","INTERNATIONAL AIRLINES GROUP SA","Industrials","Equity","1,382,417.14","0.25","1,382,417.14","309,959.00","4.46","Spain","Bolsa De Madrid","EUR"
"G24","SCOUT24 N","Communication","Equity","1,380,121.60","0.25","1,380,121.60","19,604.00","70.40","Germany","Xetra","EUR"
"EMSN","EMS-CHEMIE HOLDING AG","Materials","Equity","1,337,700.07","0.25","1,337,700.07","1,851.00","722.69","Switzerland","SIX Swiss Exchange","CHF"
"AUTO","AUTOTRADER GROUP PLC","Communication","Equity","1,310,969.93","0.24","1,310,969.93","218,290.00","6.01","United Kingdom","London Stock Exchange","GBP"
"INDT","INDUTRADE","Industrials","Equity","1,306,280.31","0.24","1,306,280.31","72,068.00","18.13","Sweden","Nasdaq Omx Nordic","SEK"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Consumer Discretionary","Equity","1,287,246.28","0.24","1,287,246.28","40,454.00","31.82","Germany","Xetra","EUR"
"LAND","LAND SECURITIES GROUP REIT PLC","Real Estate","Equity","1,279,305.22","0.23","1,279,305.22","186,908.00","6.84","United Kingdom","London Stock Exchange","GBP"
"SDR","SCHRODERS PLC","Financials","Equity","1,268,982.41","0.23","1,268,982.41","188,913.00","6.72","United Kingdom","London Stock Exchange","GBP"
"INDU A","INDUSTRIVARDEN A","Financials","Equity","1,267,150.20","0.23","1,267,150.20","28,075.00","45.13","Sweden","Nasdaq Omx Nordic","SEK"
"TITR","TELECOM ITALIA S.P.A.","Communication","Equity","1,265,671.17","0.23","1,265,671.17","1,562,557.00","0.81","Italy","Borsa Italiana","EUR"
"LHA","DEUTSCHE LUFTHANSA AG","Industrials","Equity","1,263,743.14","0.23","1,263,743.14","155,251.00","8.14","Germany","Xetra","EUR"
"HAG","HENSOLDT AG","Industrials","Equity","1,233,456.00","0.23","1,233,456.00","16,800.00","73.42","Germany","Xetra","EUR"
"BEIJ B","BEIJER REF CLASS B","Industrials","Equity","1,224,127.23","0.22","1,224,127.23","105,935.00","11.56","Sweden","Nasdaq Omx Nordic","SEK"
"WTB","WHITBREAD PLC","Consumer Discretionary","Equity","1,221,162.90","0.22","1,221,162.90","43,789.00","27.89","United Kingdom","London Stock Exchange","GBP"
